VendorID,ItemNumber,ItemRevision,RequiredQuantity,DueDate,ItemSupplyKey,VendorKey,ItemKey
050021,"300-130-1",C ,2000,2017-07-24 00:00:00,285969490,29028,4460
050021,"300-130-1",C ,2000,2017-08-21 00:00:00,285969491,29028,4460
050021,"300-130-1",C ,2000,2017-09-04 00:00:00,285969492,29028,4460
050021,"300-130-1",C ,2000,2017-09-19 00:00:00,285969493,29028,4460
050021,"300-130-1",C ,2000,2017-10-09 00:00:00,285969494,29028,4460
050021,"300-130-1",C ,2000,2017-10-18 00:00:00,285969506,29028,4460
050021,"300-130-1",C ,2000,2017-11-13 00:00:00,286179431,29028,4460
050021,"300-130-1",C ,2000,2017-12-15 00:00:00,286590216,29028,4460
050021,"310027",B ,2000,2017-05-26 00:00:00,288408094,29028,6207
050021,"756512",A ,1000,2017-08-21 00:00:00,288400869,29028,9222
050021,"826024",AA,2000,2017-08-10 00:00:00,288400930,29028,9634
050021,"826040",N ,3000,2017-08-23 00:00:00,287170977,29028,9644
050021,"826402",K ,3000,2017-08-10 00:00:00,288400936,29028,9710
050021,"86-8347-2",J ,2000,2017-08-21 00:00:00,288410912,29028,9875
050021,"86-8347-2",J ,2000,2017-09-18 00:00:00,288410913,29028,9875
050021,"86-8347-2",J ,2000,2017-09-25 00:00:00,288410914,29028,9875
050021,"86-8347-2",J ,2000,2017-10-16 00:00:00,288410915,29028,9875
050021,"86-8347-2",J ,2000,2017-10-23 00:00:00,288410916,29028,9875
050021,"86-8347-2",J ,2000,2017-11-17 00:00:00,288410917,29028,9875
050021,"86-8347-2",J ,2000,2017-12-15 00:00:00,288410918,29028,9875
050021,"89-8319-2",T ,1600,2017-09-18 00:00:00,288410919,29028,9975
050021,"89-8319-2",T ,1600,2017-10-18 00:00:00,288410920,29028,9975
050021,"89-8319-2",T ,1600,2017-11-20 00:00:00,288410921,29028,9975
050021,"90-0322-1",AD,1000,2017-09-25 00:00:00,288400950,29028,10135
050021,"90-0322-1",AD,1000,2017-10-23 00:00:00,288400951,29028,10135
050021,"90-0322-1",AD,1000,2017-12-22 00:00:00,288400954,29028,10135
050021,"90-0322-1",AD,1000,2018-02-23 00:00:00,288400956,29028,10135
050021,"90-0329-1",W ,3000,2017-10-23 00:00:00,285264206,29028,10139
050021,"90-8302-1",AN,4800,2017-07-18 00:00:00,288424911,29028,10157
050021,"90-8302-1",AN,4800,2017-11-17 00:00:00,288424920,29028,10157
050021,"90-8302-2",AR,1000,2017-10-30 00:00:00,288424935,29028,10158
050021,"90-8302-2",AR,1000,2017-11-13 00:00:00,288424940,29028,10158
050021,"90-8316-1",P ,3500,2017-08-28 00:00:00,288410922,29028,10160
050021,"90-8316-1",P ,3500,2017-10-02 00:00:00,288410923,29028,10160
050021,"90-8316-1",P ,3500,2017-10-23 00:00:00,288410924,29028,10160
050021,"90-8316-1",P ,3500,2017-12-15 00:00:00,288410925,29028,10160
050021,"90-8319-2",DE,1600,2017-10-18 00:00:00,288410926,29028,10164
050021,"90-8319-2",DE,1600,2017-11-13 00:00:00,288410927,29028,10164
050021,"90-8323-1",N ,2000,2017-07-17 00:00:00,288410928,29028,10166
050021,"90-8323-1",N ,2000,2017-07-24 00:00:00,288410929,29028,10166
050021,"90-8323-1",N ,2000,2017-08-21 00:00:00,288410930,29028,10166
050021,"90-8323-1",N ,2000,2017-09-04 00:00:00,288410931,29028,10166
050021,"90-8323-1",N ,2000,2017-09-19 00:00:00,288410932,29028,10166
050021,"90-8323-1",N ,2000,2017-10-09 00:00:00,288410933,29028,10166
050021,"90-8323-1",N ,2000,2017-10-18 00:00:00,288410934,29028,10166
050021,"90-8323-1",N ,2000,2017-11-13 00:00:00,288410935,29028,10166
050021,"90-8323-1",N ,2000,2017-12-15 00:00:00,288410936,29028,10166
050021,"90-8344-2",M ,6000,2017-08-28 00:00:00,288421949,29028,10171
050021,"90-8344-2",M ,6000,2017-10-18 00:00:00,288421978,29028,10171
050021,"90-8351-1",AH,1000,2017-07-24 00:00:00,288410937,29028,10174
050021,"90-8351-1",AH,1000,2017-08-14 00:00:00,288410938,29028,10174
050021,"90-8351-1",AH,1000,2017-09-04 00:00:00,288410940,29028,10174
050021,"90-8351-1",AH,1000,2017-10-02 00:00:00,288410942,29028,10174
050021,"90-8351-1",AH,1000,2017-10-30 00:00:00,288410944,29028,10174
050021,"90-8351-1",AH,2000,2017-08-21 00:00:00,288410939,29028,10174
050021,"90-8351-1",AH,2000,2017-09-18 00:00:00,288410941,29028,10174
050021,"90-8351-1",AH,2000,2017-11-13 00:00:00,288410945,29028,10174
050021,"90-8351-1",AH,2000,2017-12-15 00:00:00,288410946,29028,10174
050021,"90-8351-1",AH,3000,2017-10-16 00:00:00,288410943,29028,10174
050021,"91-8333-1",W ,1000,2017-08-07 00:00:00,288424939,29028,10222
050021,"91-8333-1",W ,1000,2017-09-04 00:00:00,288424948,29028,10222
050021,"91-8333-1",W ,1000,2017-09-25 00:00:00,288424953,29028,10222
050021,"91-8333-1",W ,1000,2017-10-09 00:00:00,288424956,29028,10222
050021,"91-8333-1",W ,1000,2017-10-23 00:00:00,288424959,29028,10222
050021,"91-8333-1",W ,1000,2018-02-19 00:00:00,288424964,29028,10222
050021,"91-8333-1",W ,2000,2017-08-21 00:00:00,288424944,29028,10222
050021,"91-8333-1",W ,2000,2017-09-18 00:00:00,288424951,29028,10222
050021,"91-8333-1",W ,2000,2017-10-16 00:00:00,288424957,29028,10222
050021,"91-8333-1",W ,2000,2017-11-13 00:00:00,288424962,29028,10222
