TYPE,JADE ORDER ITEM INDEX,JADE ORDER INDEX,ITEM LINE NUM,FS PO NUMBER,DUE DATE,VENDOR CODE,ITEM NUMBER,ITEM REV,ORDER QTY,TIMESTAMP,PO LINE KEY,ERROR,RECV QTY,LOT NUMBER,WAREHOUSE,SCAC,TRACK
"POREQ","","","1","POBK-011317-01","2017-08-11 00:00:00","10047","516847-12","U ","2","","281358001","","","","","",""
"POREQ","","","1","POBK-011317-01","2017-11-15 00:00:00","10047","516847-12","U ","2","","285571515","","","","","",""
"POREQ","","","1","POBK-011317-01","2017-10-17 00:00:00","10047","516847-12","U ","4","","285988199","","","","","",""
"POREQ","","","1","POBK-011317-01","2017-07-14 00:00:00","10047","516847-12","U ","6","","279454798","","","","","",""
"POREQ","","","1","PO-011617-B14136XU1","2017-09-04 00:00:00","V0018","B14136XU1","W ","2000","","286608891","","","","","",""
"POREQ","","","1","POBK-011817-01","2017-06-19 00:00:00","10037","30089-1170","A ","3","","284321167","","","","","",""
"POREQ","","","1","POBK-011817-01","2017-08-01 00:00:00","10037","30089-1170","A ","3","","287003892","","","","","",""
"POREQ","","","1","POBK-011817-01","2017-07-10 00:00:00","10037","30089-1170","A ","6","","285919426","","","","","",""
"POREQ","","","1","POBK-011817-01","2017-07-20 00:00:00","10037","30089-1170","A ","13","","286405982","","","","","",""
"POREQ","","","1","POBK-011817-02","2017-07-25 00:00:00","10071","31169-1497","G ","30","","279896407","","","","","",""
"POREQ","","","1","POBK-011917-01","2017-07-10 00:00:00","1365","MS24694-S5","2 ","2000","","287760932","","","","","",""
"POREQ","","","1","POBK-011917-02","2017-05-08 00:00:00","98859","23046-1452","AE","2","","280320449","","","","","",""
"POREQ","","","1","POBK-011917-02","2017-07-28 00:00:00","98859","23046-1452","AE","2","","283340056","","","","","",""
"POREQ","","","1","POBK-011917-02","2017-08-17 00:00:00","98859","23046-1452","AE","2","","283340057","","","","","",""
"POREQ","","","1","POBK-011917-02","2017-06-15 00:00:00","98859","23046-1452","AE","3","","280320452","","","","","",""
"POREQ","","","1","POBK-011917-02","2017-07-06 00:00:00","98859","23046-1452","AE","3","","280320454","","","","","",""
"POREQ","","","1","POBK-011917-02","2017-06-29 00:00:00","98859","23046-1452","AE","6","","280320453","","","","","",""
